time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2008-12-28T16:52:51.690Z,-6.259,114.222,568,4.3,mb,33,78.5,,0.61,us,usp000grqm,2014-11-07T01:38:03.794Z,"92 km NNE of Sumenep, Indonesia",earthquake,,8.3,,10,reviewed,us,us
2008-12-28T12:12:15.560Z,-5.601,127.751,353.1,4.2,mb,13,143,,0.59,us,usp000grq9,2014-11-07T01:38:03.739Z,"216 km SSW of Ambon, Indonesia",earthquake,,34.8,,2,reviewed,us,us
2008-12-28T06:32:40.900Z,3.721,94.433,35,4.4,mb,9,207.7,,1.01,us,usp000grpq,2014-11-07T01:38:03.694Z,"193 km WSW of Meulaboh, Indonesia",earthquake,,,,2,reviewed,us,us
2008-12-28T06:20:21.470Z,-4.736,137.042,10,4.5,mb,9,181.3,,1.32,us,usp000grpk,2014-11-07T01:38:03.685Z,"229 km SE of Nabire, Indonesia",earthquake,,,,1,reviewed,us,us
2008-12-27T18:47:57.890Z,-7.619,127.597,35,3.4,mb,13,182.9,,1.28,us,usp000grn2,2014-11-07T01:38:03.406Z,"119 km NNE of Lospalos, Timor Leste",earthquake,,,,1,reviewed,us,us
2008-12-27T16:08:11.690Z,-6.753,130.394,36.4,4.3,mb,20,116.3,,0.68,us,usp000grmn,2014-11-07T01:38:03.373Z,"289 km WSW of Tual, Indonesia",earthquake,,15.9,,4,reviewed,us,us
2008-12-27T15:07:45.860Z,1.023,97.354,30.3,0,,11,191.7,,0.33,us,usp000grmf,2014-11-07T01:38:03.359Z,"147 km SSW of Singkil, Indonesia",earthquake,,56.6,,,reviewed,us,us
2008-12-27T11:30:36.630Z,-2.843,128.201,35,4.3,mb,13,159,,1.06,us,usp000grm3,2014-11-07T01:38:03.279Z,"94 km N of Ambon, Indonesia",earthquake,,,,4,reviewed,us,us
2008-12-27T09:58:20.700Z,-0.154,125.56,67,4.1,mb,17,130.5,,0.97,us,usp000grm0,2014-11-07T01:38:03.273Z,"176 km SSE of Tondano, Indonesia",earthquake,,28.8,,1,reviewed,us,us
2008-12-27T09:35:04.130Z,-0.058,122.98,177.6,4.8,mb,51,63.7,,0.81,us,usp000grkx,2014-11-07T01:38:03.265Z,"66 km S of Gorontalo, Indonesia",earthquake,,,,26,reviewed,us,us
2008-12-27T07:18:20.030Z,-2.039,138.885,56,4.4,mb,31,55.3,,1.01,us,usp000grkq,2014-11-07T01:38:03.245Z,"203 km WNW of Abepura, Indonesia",earthquake,,15.8,,10,reviewed,us,us
2008-12-27T01:06:50.110Z,5.865,126.048,163.6,4,mb,28,113.8,,0.42,us,usp000grk4,2014-11-07T01:38:03.192Z,"43 km ESE of Mangili, Philippines",earthquake,,5.6,,4,reviewed,us,us
2008-12-27T00:32:01.230Z,-7.842,127.828,187,0,,6,184.9,,0.23,us,usp000grk0,2014-11-07T01:38:03.182Z,"118 km NE of Lospalos, Timor Leste",earthquake,,63.4,,,reviewed,us,us
2008-12-26T20:55:17.360Z,2.089,125.357,135.4,4.2,mb,18,140.4,,0.75,us,usp000grjr,2014-11-07T01:38:03.159Z,"78 km NNE of Laikit, Laikit II (Dimembe), Indonesia",earthquake,,29.3,,5,reviewed,us,us
2008-12-26T20:44:38.260Z,-7.014,123.516,658.2,4.4,mb,60,86.9,,0.73,us,usp000grjm,2014-11-07T01:38:03.143Z,"228 km NE of Maumere, Indonesia",earthquake,,6.9,,30,reviewed,us,us
2008-12-26T19:04:48.000Z,-7.19,127.792,35,0,,8,170.8,,1.36,us,usp000grje,2014-11-07T01:38:03.113Z,"171 km NNE of Lospalos, Timor Leste",earthquake,,,,,reviewed,us,us
2008-12-26T09:43:44.770Z,-6.611,129.31,10,0,,7,193.1,,1.29,us,usp000grh9,2014-11-07T01:38:02.998Z,Banda Sea,earthquake,,,,,reviewed,us,us
2008-12-26T06:19:25.620Z,2.168,126.14,35,4.6,mb,20,131.2,,0.53,us,usp000grgv,2014-11-07T01:38:02.956Z,"149 km ENE of Laikit, Laikit II (Dimembe), Indonesia",earthquake,,,,4,reviewed,us,us
2008-12-26T02:43:45.800Z,-4.942,126.94,83.7,4.1,mb,13,120.3,,0.8,us,usp000grge,2014-11-07T01:38:02.896Z,"195 km SW of Ambon, Indonesia",earthquake,,21.3,,3,reviewed,us,us
2008-12-25T18:12:07.420Z,5.323,124.26,431.9,5.4,mwc,180,38.3,,0.88,us,usp000grfj,2016-11-10T02:05:53.630Z,"83 km SSW of Maitum, Philippines",earthquake,,4.1,,,reviewed,us,gcmt
2008-12-25T17:48:31.080Z,-7.789,120.321,214.7,3.8,mb,10,149.5,,1.54,us,usp000grfg,2014-11-07T01:38:02.722Z,"91 km NNE of Labuan Bajo, Indonesia",earthquake,,15.6,,1,reviewed,us,us
2008-12-25T16:49:19.370Z,-7.344,120.355,423.4,3.7,mb,12,159.8,,0.56,us,usp000grfe,2014-11-07T01:38:02.719Z,"137 km NNE of Labuan Bajo, Indonesia",earthquake,,8.9,,2,reviewed,us,us
2008-12-25T14:00:56.570Z,-8.881,118.916,118.3,3.5,mb,13,178.9,,0.73,us,usp000grf6,2014-11-07T01:38:02.697Z,"51 km SSE of Bima, Indonesia",earthquake,,17.6,,1,reviewed,us,us
2008-12-25T12:08:34.260Z,-8.187,118.529,35,3.9,mb,17,145.4,,0.63,us,usp000gret,2014-11-07T01:38:02.657Z,"37 km NW of Bima, Indonesia",earthquake,,,,1,reviewed,us,us
2008-12-25T06:02:16.880Z,-0.009,125.926,20,4.2,mb,10,174.8,,1.02,us,usp000gre3,2014-11-07T01:38:02.559Z,"183 km SE of Tondano, Indonesia",earthquake,,0,,1,reviewed,us,us
2008-12-25T03:20:29.350Z,5.752,125.377,206,6.3,mwc,328,19.8,,1.05,us,usp000grdx,2022-07-14T22:55:36.951Z,"11 km SSE of Kiupo, Philippines",earthquake,,,,,reviewed,us,us
2008-12-24T23:56:54.800Z,8.409,126.443,90.9,5,mb,87,67.4,,1.13,us,usp000grdk,2014-11-07T01:38:02.359Z,"12 km ENE of Hinatuan, Philippines",earthquake,,8.6,,31,reviewed,us,us
2008-12-24T23:15:36.630Z,1.684,128.476,35,4.3,mb,26,179.5,,0.46,us,usp000grdh,2014-11-07T01:38:02.356Z,"52 km E of Tobelo, Indonesia",earthquake,,,,7,reviewed,us,us
2008-12-24T14:22:07.430Z,-8.429,128.392,54,4.9,mb,40,78.7,,0.94,us,usp000grcm,2014-11-07T01:38:02.267Z,"153 km E of Lospalos, Timor Leste",earthquake,,13.6,,16,reviewed,us,us
2008-12-24T13:28:24.580Z,2.68,126.929,35,3.9,mb,8,177.5,,0.52,us,usp000grck,2014-11-07T01:38:02.266Z,"159 km NW of Tobelo, Indonesia",earthquake,,,,1,reviewed,us,us
2008-12-24T06:14:09.860Z,-6.834,125.387,529.8,4.8,mb,31,102.4,,0.56,us,usp000grbn,2014-11-07T01:38:02.160Z,"191 km NNW of Metinaro, Timor Leste",earthquake,,9,,14,reviewed,us,us
2008-12-24T01:34:55.480Z,-7.989,120.498,37.4,3.9,mb,10,177.8,,1.11,us,usp000grb5,2014-11-07T01:38:02.114Z,"68 km N of Ruteng, Indonesia",earthquake,,17,,1,reviewed,us,us
2008-12-23T21:39:46.120Z,2.256,96.272,35,3.9,mb,16,205.2,,0.76,us,usp000grag,2014-11-07T01:38:01.697Z,"27 km SSW of Sinabang, Indonesia",earthquake,,,,2,reviewed,us,us
2008-12-23T17:51:48.200Z,2.409,128.679,72.2,5.2,mwc,166,29.8,,0.93,us,usp000gr9w,2016-11-10T02:05:48.620Z,"105 km NE of Tobelo, Indonesia",earthquake,,7.1,,,reviewed,us,gcmt
2008-12-23T15:15:46.620Z,-2.443,102.048,35,4.8,mb,24,116.7,,0.88,us,usp000gr8z,2014-11-07T01:38:01.507Z,"84 km ESE of Sungai Penuh, Indonesia",earthquake,,,,8,reviewed,us,us
2008-12-23T14:23:40.210Z,-7.557,120.69,35,0,,8,187.7,,0.29,us,usp000gr8x,2014-11-07T01:38:01.488Z,"119 km NNE of Ruteng, Indonesia",earthquake,,,,,reviewed,us,us
2008-12-23T13:28:42.330Z,-6.793,128.115,322.3,4.6,mb,61,72.5,,0.69,us,usp000gr8u,2014-11-07T01:38:01.476Z,"227 km NNE of Lospalos, Timor Leste",earthquake,,7.6,,24,reviewed,us,us
2008-12-23T08:34:59.160Z,7.919,91.907,35,4.2,mb,16,182.7,,0.81,us,usp000gr89,2014-11-07T01:38:01.385Z,"Nicobar Islands, India region",earthquake,,,,5,reviewed,us,us
2008-12-23T03:36:42.610Z,-0.451,124.343,94.9,4.5,mb,42,73.2,,1.15,us,usp000gr7s,2014-11-07T01:38:01.344Z,"179 km SE of Gorontalo, Indonesia",earthquake,,13.9,,11,reviewed,us,us
2008-12-22T18:50:13.150Z,5.164,125.688,109.3,0,,8,164.7,,1.04,us,usp000gr77,2014-11-07T01:38:01.286Z,"36 km SE of Sarangani, Philippines",earthquake,,30.2,,,reviewed,us,us
2008-12-22T18:42:07.070Z,0.331,125.906,35,4.2,mb,9,189.8,,0.82,us,usp000gr76,2014-11-07T01:38:01.285Z,"154 km SE of Tondano, Indonesia",earthquake,,,,1,reviewed,us,us
2008-12-22T16:25:02.430Z,-7.2,120.816,552,4.5,mb,27,146.9,,0.69,us,usp000gr6w,2014-11-07T01:38:01.260Z,"160 km NNE of Ruteng, Indonesia",earthquake,,7.2,,9,reviewed,us,us
2008-12-22T10:26:25.820Z,-7.967,120.034,206.1,0,,12,180,,0.6,us,usp000gr64,2014-11-07T01:38:01.178Z,"60 km NNE of Labuan Bajo, Indonesia",earthquake,,9.9,,,reviewed,us,us
2008-12-22T02:22:59.090Z,-2.854,139.26,40.8,5,mb,50,95.7,,1.03,us,usp000gr5q,2014-11-07T01:38:01.133Z,"155 km W of Abepura, Indonesia",earthquake,,15.4,,22,reviewed,us,us
2008-12-21T20:45:42.530Z,-8.488,120.495,200,4.6,mb,15,127.8,,1.27,us,usp000gr54,2014-11-07T01:38:01.080Z,"Flores region, Indonesia",earthquake,,,,2,reviewed,us,us
2008-12-21T19:27:58.050Z,1.27,122.288,46.1,0,,9,165.6,,0.69,us,usp000gr4x,2014-11-07T01:38:01.059Z,"118 km NW of Gorontalo, Indonesia",earthquake,,46.7,,,reviewed,us,us
2008-12-21T13:47:52.360Z,4.833,95.04,56.3,5.4,mwc,264,23.7,,0.79,us,usp000gr42,2022-05-02T19:57:44.982Z,"84 km SSW of Banda Aceh, Indonesia",earthquake,,6.2,,,reviewed,us,gcmt
2008-12-21T05:40:03.150Z,-7.256,129.347,99.7,0,,12,135.2,,0.98,us,usp000gr35,2014-11-07T01:38:00.775Z,"294 km ENE of Lospalos, Timor Leste",earthquake,,56.5,,,reviewed,us,us
2008-12-21T05:16:11.510Z,-3.37,135.106,30,4.3,mb,23,65.8,,1.24,us,usp000gr31,2014-11-07T01:38:00.759Z,"43 km W of Nabire, Indonesia",earthquake,,,,3,reviewed,us,us
2008-12-21T04:46:04.030Z,-0.396,132.354,72.3,4.5,mb,41,95.8,,1,us,usp000gr2z,2014-11-07T01:38:00.740Z,"132 km ENE of Sorong, Indonesia",earthquake,,16,,21,reviewed,us,us
2008-12-20T21:32:47.330Z,3.248,126.815,35,4.3,mb,14,133.8,,0.81,us,usp000gr24,2014-11-07T01:38:00.670Z,"214 km NW of Tobelo, Indonesia",earthquake,,,,2,reviewed,us,us
2008-12-20T21:29:50.850Z,0.499,98.011,41.6,4.3,mb,22,180.2,,0.94,us,usp000gr23,2014-11-07T01:38:00.668Z,"161 km SSW of Sibolga, Indonesia",earthquake,,26,,4,reviewed,us,us
2008-12-20T20:44:41.820Z,-6.913,126.976,411.2,4.4,mb,52,78.7,,0.8,us,usp000gr1v,2014-11-07T01:38:00.598Z,"177 km N of Lospalos, Timor Leste",earthquake,,9.6,,23,reviewed,us,us
2008-12-20T20:33:04.950Z,1.23,127.032,91.7,4.1,mb,20,143.3,,0.88,us,usp000gr1u,2014-11-07T01:38:00.596Z,"62 km NW of Ternate, Indonesia",earthquake,,19.3,,9,reviewed,us,us
2008-12-20T17:44:45.770Z,-2.769,138.996,45.1,5.5,mwc,166,38.5,,0.93,us,usp000gr1h,2020-09-21T15:55:22.022Z,"182 km W of Abepura, Indonesia",earthquake,,7,,,reviewed,us,us
2008-12-20T16:45:39.650Z,-2.964,139.42,35,3.9,mb,11,105.7,,1.13,us,usp000gr1b,2014-11-07T01:38:00.421Z,"140 km WSW of Abepura, Indonesia",earthquake,,,,2,reviewed,us,us
2008-12-20T16:24:27.280Z,-2.863,139.045,39.1,4.6,mb,35,84,,1.16,us,usp000gr18,2014-11-07T01:38:00.407Z,"178 km W of Abepura, Indonesia",earthquake,,15.4,,11,reviewed,us,us
2008-12-20T11:19:46.720Z,-7.044,129.568,10,4.4,mb,15,147.1,,1.05,us,usp000gr0k,2014-11-07T01:38:00.321Z,"Kepulauan Babar, Indonesia",earthquake,,,,1,reviewed,us,us
2008-12-20T11:10:27.090Z,1.215,126.826,35,4.4,mb,14,151.4,,0.46,us,usp000gr0h,2014-11-07T01:38:00.318Z,"77 km NW of Ternate, Indonesia",earthquake,,,,2,reviewed,us,us
2008-12-20T00:02:51.040Z,-4.432,102.293,35,4.5,mb,28,115.5,,0.78,us,usp000gqzg,2014-11-07T01:38:00.173Z,"69 km S of Bengkulu, Indonesia",earthquake,,,,6,reviewed,us,us
2008-12-19T15:16:29.800Z,0.881,126.13,35,3.6,mb,9,176.5,,0.67,us,usp000gqyv,2014-11-07T01:38:00.077Z,"139 km W of Ternate, Indonesia",earthquake,,,,1,reviewed,us,us
2008-12-19T13:09:13.260Z,0.175,122.487,175.2,4.8,mb,51,77.3,,1.04,us,usp000gqyj,2014-11-07T01:38:00.033Z,"75 km WSW of Gorontalo, Indonesia",earthquake,,,,20,reviewed,us,us
2008-12-19T10:31:18.070Z,-3.829,99.523,35,4.4,mb,13,216.6,,0.84,us,usp000gqy4,2014-11-07T01:38:00.001Z,"285 km SW of Sungai Penuh, Indonesia",earthquake,,,,4,reviewed,us,us
2008-12-19T10:16:34.970Z,-9.783,122.696,84.1,4,mb,11,134.3,,1.9,us,usp000gqy0,2014-11-07T01:37:59.925Z,"108 km WNW of Kupang, Indonesia",earthquake,,22.8,,3,reviewed,us,us
2008-12-19T09:37:40.340Z,-6.895,129.566,86.6,4.6,mb,11,151.8,,1.3,us,usp000gqxw,2014-11-07T01:37:59.886Z,Banda Sea,earthquake,,31.3,,3,reviewed,us,us
2008-12-19T08:06:12.970Z,1.227,126.839,73.1,5.2,mwc,96,29.6,,0.98,us,usp000gqxk,2016-11-10T02:05:34.800Z,Molucca Sea,earthquake,,8.7,,,reviewed,us,gcmt
2008-12-19T07:53:52.300Z,-2.438,138.901,35,4.2,mb,22,106,,1.09,us,usp000gqxf,2014-11-07T01:37:59.774Z,"Papua, Indonesia",earthquake,,,,8,reviewed,us,us
2008-12-19T04:04:02.750Z,2.9,128.348,61.4,4.5,mb,36,112.7,,0.66,us,usp000gqx1,2014-11-07T01:37:59.714Z,"134 km NNE of Tobelo, Indonesia",earthquake,,,,13,reviewed,us,us
2008-12-19T01:34:37.050Z,-1.74,99.741,27.2,4.2,mb,16,101.8,,0.75,us,usp000gqwn,2014-11-07T01:37:59.686Z,"110 km SW of Padang, Indonesia",earthquake,,,,3,reviewed,us,us
2008-12-19T01:27:20.220Z,-1.75,99.759,28,4.7,mb,83,35.1,,0.92,us,usp000gqwm,2014-11-07T01:37:59.679Z,"110 km SW of Padang, Indonesia",earthquake,,,,24,reviewed,us,us
2008-12-19T01:01:06.580Z,1.257,125.71,35,4.2,mb,13,169,,0.57,us,usp000gqwj,2014-11-07T01:37:59.674Z,"85 km ESE of Laikit, Laikit II (Dimembe), Indonesia",earthquake,,,,4,reviewed,us,us
2008-12-19T00:56:50.720Z,1.92,96.522,35,0,,9,230.8,,0.48,us,usp000gqwh,2014-11-07T01:37:59.672Z,"63 km SSE of Sinabang, Indonesia",earthquake,,,,,reviewed,us,us
2008-12-18T20:25:13.580Z,-6.736,115.633,516,3.6,mb,13,194.3,,0.28,us,usp000gqvr,2014-11-07T01:37:59.283Z,"163 km NNE of Singaraja, Indonesia",earthquake,,18.9,,3,reviewed,us,us
2008-12-18T19:50:13.740Z,-8.169,119.923,200.7,3.5,mb,15,109.3,,0.87,us,usp000gqvp,2014-11-07T01:37:59.278Z,"36 km N of Labuan Bajo, Indonesia",earthquake,,10.1,,1,reviewed,us,us
2008-12-18T16:08:34.460Z,-9.187,123.948,98.6,4.3,mb,18,151.6,,1,us,usp000gqve,2014-11-07T01:37:59.213Z,"47 km W of Pante Makasar, Timor Leste",earthquake,,13,,5,reviewed,us,us
2008-12-18T15:50:15.280Z,2.299,127.169,87.4,5.3,mwc,210,25.2,,0.94,us,usp000gqvd,2016-11-09T07:40:00.898Z,"112 km NW of Tobelo, Indonesia",earthquake,,6.1,,,reviewed,us,gcmt
2008-12-18T12:36:01.830Z,-2.866,136.972,35,0,,9,126.6,,1.25,us,usp000gqv8,2014-11-07T01:37:59.183Z,"172 km ENE of Nabire, Indonesia",earthquake,,,,,reviewed,us,us
2008-12-18T10:24:20.750Z,-7.041,129.263,35,0,,8,150.6,,1.43,us,usp000gqv3,2014-11-07T01:37:59.174Z,"298 km ENE of Lospalos, Timor Leste",earthquake,,,,,reviewed,us,us
2008-12-18T08:40:21.790Z,-6.48,130.096,35,0,,8,191.8,,0.62,us,usp000gqv0,2014-11-07T01:37:59.170Z,Banda Sea,earthquake,,,,,reviewed,us,us
2008-12-18T07:07:13.360Z,-7.497,127.721,132.4,4.8,mb,37,72,,0.81,us,usp000gquw,2014-11-07T01:37:59.162Z,"138 km NE of Lospalos, Timor Leste",earthquake,,15.7,,17,reviewed,us,us
2008-12-18T03:03:32.990Z,1.322,122.231,35,4.6,mb,31,82.9,,1.2,us,usp000gque,2014-11-07T01:37:59.092Z,"126 km NW of Gorontalo, Indonesia",earthquake,,,,15,reviewed,us,us
2008-12-18T02:23:34.990Z,-4.894,128.65,298.5,4.5,mb,28,174.6,,0.54,us,usp000gqub,2014-11-07T01:37:59.086Z,"142 km SSE of Ambon, Indonesia",earthquake,,16.9,,10,reviewed,us,us
2008-12-17T23:14:08.600Z,-5.838,103.958,52.8,4.4,mb,30,91.2,,0.66,us,usp000gqu4,2014-11-07T01:37:59.058Z,"151 km WSW of Bandar Lampung, Indonesia",earthquake,,13.4,,5,reviewed,us,us
2008-12-17T22:26:15.140Z,0.451,98.117,48.4,4.6,mb,30,180.2,,0.62,us,usp000gqu1,2014-11-07T01:37:59.052Z,"160 km SSW of Sibolga, Indonesia",earthquake,,17.7,,16,reviewed,us,us
2008-12-17T19:54:02.170Z,-2.281,99.858,35,4.2,mb,10,218.1,,1.07,us,usp000gqte,2014-11-07T01:37:58.956Z,"157 km SSW of Padang, Indonesia",earthquake,,,,1,reviewed,us,us
2008-12-17T18:33:09.040Z,-2.642,138.504,35,3.5,mb,8,133.5,,1.42,us,usp000gqt9,2014-11-07T01:37:58.945Z,"236 km W of Abepura, Indonesia",earthquake,,,,1,reviewed,us,us
2008-12-17T18:09:38.870Z,-2.38,100.655,35,3.8,mb,11,217.8,,1.04,us,usp000gqt5,2014-11-07T01:37:58.940Z,"89 km WSW of Sungai Penuh, Indonesia",earthquake,,,,1,reviewed,us,us
2008-12-17T16:06:58.160Z,-6.072,103.514,35,5.2,mwc,236,33.3,,0.78,us,usp000gqt2,2016-11-10T02:05:29.430Z,"204 km SW of Kotabumi, Indonesia",earthquake,,,,,reviewed,us,us
2008-12-17T13:47:59.610Z,6.88,94.756,137.7,5,mwc,125,57.9,,0.98,us,usp000gqsx,2016-11-10T02:05:28.944Z,"125 km NNW of Sabang, Indonesia",earthquake,,,,,reviewed,us,gcmt
2008-12-17T10:58:07.520Z,-7.253,121.255,547.6,4.3,mb,9,160.7,,0.66,us,usp000gqsr,2014-11-07T01:37:58.888Z,Flores Sea,earthquake,,11.6,,1,reviewed,us,us
2008-12-17T02:53:02.040Z,-9.813,124.741,35,3.9,mb,13,174.5,,0.91,us,usp000gqrx,2014-11-07T01:37:58.788Z,"49 km SE of Kefamenanu, Indonesia",earthquake,,,,2,reviewed,us,us
2008-12-17T00:53:47.260Z,-7.276,120.085,575.9,4.6,mb,51,55.6,,0.6,us,usp000gqrq,2014-11-07T01:37:58.767Z,"136 km N of Labuan Bajo, Indonesia",earthquake,,5.3,,18,reviewed,us,us
2008-12-16T20:13:49.200Z,-0.089,125.601,20,4.2,mb,11,172.6,,1.04,us,usp000gqr2,2014-11-07T01:37:58.699Z,"172 km SSE of Tondano, Indonesia",earthquake,,0,,1,reviewed,us,us
2008-12-16T19:43:17.280Z,0.211,97.68,30,4.1,mb,12,200.2,,1.07,us,usp000gqr0,2014-11-07T01:37:58.696Z,"208 km SW of Sibolga, Indonesia",earthquake,,0,,3,reviewed,us,us
2008-12-16T13:07:01.010Z,1.502,122.339,10,3.5,mb,9,166,,0.18,us,usp000gqqn,2014-11-07T01:37:58.676Z,"133 km NW of Gorontalo, Indonesia",earthquake,,0,,2,reviewed,us,us
2008-12-16T11:22:04.790Z,-6.624,129.219,10,3.8,mb,7,163.5,,0.59,us,usp000gqqd,2014-11-07T01:37:58.658Z,Banda Sea,earthquake,,0,,1,reviewed,us,us
2008-12-16T09:06:43.070Z,-1.231,130.172,35,3.6,mb,9,194.2,,1.35,us,usp000gqq8,2014-11-07T01:37:58.640Z,"127 km WSW of Sorong, Indonesia",earthquake,,,,1,reviewed,us,us
2008-12-16T02:48:33.230Z,2.821,128.298,165.6,4.7,mb,57,107.6,,0.82,us,usp000gqps,2014-11-07T01:37:58.592Z,"125 km NNE of Tobelo, Indonesia",earthquake,,17.3,,26,reviewed,us,us
2008-12-15T23:15:12.070Z,-6.408,130.051,45.5,3.6,mb,15,111.6,,1.19,us,usp000gqpg,2014-11-07T01:37:58.554Z,Banda Sea,earthquake,,22.4,,3,reviewed,us,us
2008-12-15T21:45:38.800Z,-6.612,127.511,429.6,4.1,mb,17,87.7,,0.66,us,usp000gqpb,2014-11-07T01:37:58.546Z,"218 km NNE of Lospalos, Timor Leste",earthquake,,19.4,,4,reviewed,us,us
2008-12-15T21:18:10.100Z,-2.829,101.042,48.7,5.3,mwc,107,41.4,,0.92,us,usp000gqp8,2022-05-02T20:14:14.167Z,"southern Sumatra, Indonesia",earthquake,,7.3,,,reviewed,us,gcmt
